Eventi da inserire - dev
Id;EventName;Description;Category;StartDate;EndDate;Link;HighlightEvent;Creator;CreatorLogo;TopImage;BottomImage;Mode;SdgImage;SdgTag;Region;Address;Latitude;Longitude
;Joy for Children;Joy for Children è un'associazione nata dall'Amore, l'Amore per la vita.;2;;;https://www.joyforchildren.it/;;;;https://www.joyforchildren.it/wp-content/uploads/2021/05/5x1000-web.jpg;https://www.joyforchildren.it/wp-content/uploads/2017/12/logo.png;In presenza;11;;;Via Cavour 31, 98070 Galati Mamertino (ME) ITALIA;38,0324336;14,770369
;Una goccia per il Mondo Onlus;Da oltre 10 anni sosteniamo un progetto di solidarietà internazionale in Cambogia e un progetto di volontariato a Rimini in favore degli anziani;2;;;http://www.unagocciaperilmondo.org/;;;;https://scontent-mxp2-1.xx.fbcdn.net/v/t39.30808-6/279021720_5153197534743208_7599743769084393204_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=e3f864&_nc_ohc=tt4OpZ97QrwAX9EAT3L&_nc_ht=scontent-mxp2-1.xx&oh=00_AfDEIyrrxQTqLR96kZO1PysYtn_G_-c-LpfjM1uSQovX4g&oe=63BF6231;https://scontent-mxp2-1.xx.fbcdn.net/v/t1.6435-9/118808731_3390946144301698_6122106077722047416_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=09cbfe&_nc_ohc=Ip9PMPMYWQAAX8qsmC8&tn=9yT9ZRcVsFxtTSYY&_nc_ht=scontent-mxp2-1.xx&oh=00_AfDEktHYTYBzYtBtEwudD8apCnMLRJK9yL-aGShP_sn3-A&oe=63E256E1;In presenza;11;;;Via Rodella, 68, 47923 Rimini RN;44,0354442;12,5010127
;GuardAvanti: per il futuro dei bambini Onlus;Ci occupiamo di educazione in Italia e all'estero e di cooperazione e sviluppo in Africa.;2;;;https://www.guardavanti.org/;;;;https://www.guardavanti.org/wp-content/uploads/2022/10/1-WhatsApp%20Image%202022-10-27%20at%2013.12.02%20(1).jpeg;https://www.guardavanti.org/wp-content/uploads/2017/04/guardavanti-logo-sito.png;In presenza;11;;;Via De Cristoforis 10 – 21100 Varese;45,8215969;8,8316257
;Comunità Solidali nel Mondo Onlus;L'ente si occupa di minori con disabilità in Tanzania, responsabilizzazione delle istituzioni locali, sviluppo inclusivo basato sulle comunità.;2;;;https://www.solidalinelmondo.org/;;;;;https://www.solidalinelmondo.org/wp-content/uploads/logo-comunita-solidali-nel-mondo-onlus-p.svg;In presenza;11;;;Via Appia Nuova 985, 00178 Roma;41,8343535;12,5534576
;H.E.W.O. Modena;l'Associazione ha realizzato e sostiene un ospedale per ammalati di Lebbra TB e AIDS, 1clinica, 2scuole materne, 2aziende agricole con stalle, 2 forni;2;;;http://www.hewomodena.org/;;;;http://www.hewomodena.org/wp-content/uploads/2017/05/DSC_01721_mini.jpg;http://www.hewomodena.org/wp-content/uploads/2017/05/HEWO_NEGATIVO.png;In presenza;11;;;Via Dino Ferrari 45/1, 41053 Maranello (Modena);44,5300141;10,860647
;RAH Italia - Rise Against Hunger Italia;RAH è una no profit internazionale che opera per il progresso del benessere, dell'educazione e pari opportunità dei soggetti ai margini della società.;2;;;https://www.riseagainsthunger.it/;;;;https://www.riseagainsthunger.it/wp-content/uploads/2016/11/Untitled-design-41.jpg;https://www.riseagainsthunger.it/wp-content/uploads/2019/04/twitter_profile_v1-e1554465038476-768x485.png;In presenza;11;;;"Via Bruno Buozzi , 13
40013 Castel Maggiore ( BO )";44,5586793;11,3637107
;Fuori le Zampe Odv;L'associazione Fuori le Zampe Odv tutela il benessere dei cani presenti all'interno del canile a Calderara di Reno;2;;;http://www.fuorilezampe.it/;;;;https://swite-s2022-06.r1-it.storage.cloud.it/102821/62f5fd026075f4ab4a8c24f2/img.jpg?1673196107;https://swite-uplimages.r1-it.storage.cloud.it/55783/3125082/src.png?z=1600329952;In presenza;11;;;Via Persicetana, 23, 40012 Calderara di Reno BO;44,5690793;11,2277448
;TAO - Turtles of the Adriatic Organization;"TAO è un’associazione no profit fondata da biologi esperti che si dedicano allo studio e la tutela della fauna e degli habitats dell’alto Adriatico. Coinvolgiamo le persone in attività di tutela e studio di tartarughe marine e delfini.
Proteggi il mare.
Partecipa anche tu.";2;;;https://www.taoproject.it/;;;;;https://lirp.cdn-website.com/d05475c1/dms3rep/multi/opt/cropped-logo_TAO-2-1920w.png;In presenza;11;;;Via Tanari 431/A, 40024 Castel San Pietro Terme (BO);44,3964924;11,5861844
;CSV - Verona;I Centri di servizio per il volontariato nascono per essere al servizio delle organizzazioni di volontariato (Odv);2;;;	http://www.csvveneto.org/portal/;;;;https://csvnet.it/templates/frontend/img/RGB_payoff_CSVnet.png;https://csvnet.it/images/testata-calendario-01.png;In presenza;11;;;Verona, Via Cantarane 24;45,4390372;11,0113466
;CSV - Venezia;I Centri di servizio per il volontariato nascono per essere al servizio delle organizzazioni di volontariato (Odv);2;;;	https://www.csvvenezia.it/;;;;https://csvnet.it/templates/frontend/img/RGB_payoff_CSVnet.png;https://csvnet.it/images/testata-calendario-01.png;In presenza;11;;;Viale Ancona 53, Venezia;45,4847618;12,2508872
;CSV - Vicenza;I Centri di servizio per il volontariato nascono per essere al servizio delle organizzazioni di volontariato (Odv);2;;;http://www.csv-vicenza.org;;;;https://csvnet.it/templates/frontend/img/RGB_payoff_CSVnet.png;https://csvnet.it/images/testata-calendario-01.png;In presenza;11;;;C.trà Mure San Rocco 37, Vicenza;45,5483445;11,5363397
;CSV - Padova;I Centri di servizio per il volontariato nascono per essere al servizio delle organizzazioni di volontariato (Odv);2;;;http://www.csvpadovarovigo.org/;;;;https://csvnet.it/templates/frontend/img/RGB_payoff_CSVnet.png;https://csvnet.it/images/testata-calendario-01.png;In presenza;11;;;Via Gradenigo 10, Padova;45,4090872;11,8957454
;CSV - Belluno - Treviso;I Centri di servizio per il volontariato nascono per essere al servizio delle organizzazioni di volontariato (Odv);2;;;www.csvbltv.it;;;;https://csvnet.it/templates/frontend/img/RGB_payoff_CSVnet.png;https://csvnet.it/images/testata-calendario-01.png;In presenza;11;;;Via del Piave 5, Belluno;46,13577;12,21918
;CSV - Friuli Venezia Giulia;I Centri di servizio per il volontariato nascono per essere al servizio delle organizzazioni di volontariato (Odv);2;;;http://www.csvfvg.it/;;;;https://csvnet.it/templates/frontend/img/RGB_payoff_CSVnet.png;https://csvnet.it/images/testata-calendario-01.png;In presenza;11;;;Viale Martelli 18, Pordenone;45,9561076;12,664674
;CSV - Trento;I Centri di servizio per il volontariato nascono per essere al servizio delle organizzazioni di volontariato (Odv);2;;;http://www.volontariatotrentino.it/;;;;https://csvnet.it/templates/frontend/img/RGB_payoff_CSVnet.png;https://csvnet.it/images/testata-calendario-01.png;In presenza;11;;;Via Renato Lunelli 4, Trento;46,0931098;11,1198322
;CSV - Bolzano;I Centri di servizio per il volontariato nascono per essere al servizio delle organizzazioni di volontariato (Odv);2;;;https://dze-csv.it/it/;;;;https://csvnet.it/templates/frontend/img/RGB_payoff_CSVnet.png;https://csvnet.it/images/testata-calendario-01.png;In presenza;11;;;Piazza Silvius Magnago 1, Bolzano;46,4977508;11,3579738
;CSV - Lombardia;I Centri di servizio per il volontariato nascono per essere al servizio delle organizzazioni di volontariato (Odv);2;;;http://www.csvlombardia.it/;;;;https://csvnet.it/templates/frontend/img/RGB_payoff_CSVnet.png;https://csvnet.it/images/testata-calendario-01.png;In presenza;11;;;Piazza Castello 3, Milano;45,4683865;9,1808895
;CSV - Bergamo;I Centri di servizio per il volontariato nascono per essere al servizio delle organizzazioni di volontariato (Odv);2;;;http://www.csvlombardia.it/bergamo/;;;;https://csvnet.it/templates/frontend/img/RGB_payoff_CSVnet.png;https://csvnet.it/images/testata-calendario-01.png;In presenza;11;;;Via Longuelo 83, Bergamo;45,6960799;9,6303171
;CSV - Brescia;I Centri di servizio per il volontariato nascono per essere al servizio delle organizzazioni di volontariato (Odv);2;;;http://www.csvlombardia.it/brescia/;;;;https://csvnet.it/templates/frontend/img/RGB_payoff_CSVnet.png;https://csvnet.it/images/testata-calendario-01.png;In presenza;11;;;Via Salgari 43b, Brescia;45,5260861;10,199054
;CSV - Como - Varese;I Centri di servizio per il volontariato nascono per essere al servizio delle organizzazioni di volontariato (Odv);2;;;http://www.csvlombardia.it/varese/;;;;https://csvnet.it/templates/frontend/img/RGB_payoff_CSVnet.png;https://csvnet.it/images/testata-calendario-01.png;In presenza;11;;;Como, via Col di Lana, 5;45,7964618;9,0945379
;CSV - Como - Varese;I Centri di servizio per il volontariato nascono per essere al servizio delle organizzazioni di volontariato (Odv);2;;;http://www.csvlombardia.it/varese/;;;;https://csvnet.it/templates/frontend/img/RGB_payoff_CSVnet.png;https://csvnet.it/images/testata-calendario-01.png;In presenza;11;;;Via Brambilla 15, Varese;45,8250537;8,8171935
;CSV - Lombardia Sud;I Centri di servizio per il volontariato nascono per essere al servizio delle organizzazioni di volontariato (Odv);2;;;http://www.csvlombardia.it/cremona/;;;;https://csvnet.it/templates/frontend/img/RGB_payoff_CSVnet.png;https://csvnet.it/images/testata-calendario-01.png;In presenza;11;;;Via San Bernardo 2, Cremona;45,14399;10,03451
;CSV - Monza - Lecco - Sondrio;I Centri di servizio per il volontariato nascono per essere al servizio delle organizzazioni di volontariato (Odv);2;;;http://www.csvlombardia.it/monza-e-brianza/;;;;https://csvnet.it/templates/frontend/img/RGB_payoff_CSVnet.png;https://csvnet.it/images/testata-calendario-01.png;In presenza;11;;;Via Correggio 59, Monza;45,5863432;9,2988568
;CSV - Emilia Romagna;I Centri di servizio per il volontariato nascono per essere al servizio delle organizzazioni di volontariato (Odv);2;;;http://www.csvemiliaromagna.it;;;;https://csvnet.it/templates/frontend/img/RGB_payoff_CSVnet.png;https://csvnet.it/images/testata-calendario-01.png;In presenza;11;;;Via Scipione del Ferro 4, Bologna;44,4951661;11,3681396
;CSV - Parma - Piacenza - Reggio Emilia;I Centri di servizio per il volontariato nascono per essere al servizio delle organizzazioni di volontariato (Odv);2;;;https://www.csvemilia.it/;;;;https://csvnet.it/templates/frontend/img/RGB_payoff_CSVnet.png;https://csvnet.it/images/testata-calendario-01.png;In presenza;11;;;Via P. Bandini 6, Parma;44,7939087;10,3420144
;CSV - Ferrara - Modena;I Centri di servizio per il volontariato nascono per essere al servizio delle organizzazioni di volontariato (Odv);2;;;https://www.csvterrestensi.it/;;;;https://csvnet.it/templates/frontend/img/RGB_payoff_CSVnet.png;https://csvnet.it/images/testata-calendario-01.png;In presenza;11;;;Viale della Cittadella 30, Modena;44,6526834;10,9192027
;CSV - Rimini - Forlì Cesena - Ravenna;I Centri di servizio per il volontariato nascono per essere al servizio delle organizzazioni di volontariato (Odv);2;;;https://volontaromagna.it;;;;https://csvnet.it/templates/frontend/img/RGB_payoff_CSVnet.png;https://csvnet.it/images/testata-calendario-01.png;In presenza;11;;;Via Covignano 238, Rimini;44,0423867;12,5516724
;CSV - Toscana;I Centri di servizio per il volontariato nascono per essere al servizio delle organizzazioni di volontariato (Odv);2;;;http://www.cesvot.it/;;;;https://csvnet.it/templates/frontend/img/RGB_payoff_CSVnet.png;https://csvnet.it/images/testata-calendario-01.png;In presenza;11;;;Via Ricasoli 9, Firenze;43,7742022;11,2564088
;CSV - Piemonte;I Centri di servizio per il volontariato nascono per essere al servizio delle organizzazioni di volontariato (Odv);2;;;http://www.volontariato.torino.it/;;;;https://csvnet.it/templates/frontend/img/RGB_payoff_CSVnet.png;https://csvnet.it/images/testata-calendario-01.png;In presenza;11;;;Via Giolitti 21, Torino;45,0651111;7,6877371
;CSV - Asti - Alessandria;I Centri di servizio per il volontariato nascono per essere al servizio delle organizzazioni di volontariato (Odv);2;;;http://csvastialessandria.it/;;;;https://csvnet.it/templates/frontend/img/RGB_payoff_CSVnet.png;https://csvnet.it/images/testata-calendario-01.png;In presenza;11;;;Via Verona 1, Alessandria;44,9154627;8,6115677
;CSV - Cuneo;I Centri di servizio per il volontariato nascono per essere al servizio delle organizzazioni di volontariato (Odv);2;;;http://www.csvcuneo.it/;;;;https://csvnet.it/templates/frontend/img/RGB_payoff_CSVnet.png;https://csvnet.it/images/testata-calendario-01.png;In presenza;11;;;Piazzale Croce Rossa Italiana 1, Cuneo;44,3716637;7,532636
;CSV - Vercelli - Biella;I Centri di servizio per il volontariato nascono per essere al servizio delle organizzazioni di volontariato (Odv);2;;;http://www.centroterritorialevolontariato.org/;;;;https://csvnet.it/templates/frontend/img/RGB_payoff_CSVnet.png;https://csvnet.it/images/testata-calendario-01.png;In presenza;11;;;Via Orfanotrofio 16, Biella;45,5685794;8,0553997
;CSV - Novara;I Centri di servizio per il volontariato nascono per essere al servizio delle organizzazioni di volontariato (Odv);2;;;http://www.ciesseti.eu/;;;;https://csvnet.it/templates/frontend/img/RGB_payoff_CSVnet.png;https://csvnet.it/images/testata-calendario-01.png;In presenza;11;;;Via Bruno Canuto 12, Domodossola;46,1158772;8,2902734
;CSV - Lazio;I Centri di servizio per il volontariato nascono per essere al servizio delle organizzazioni di volontariato (Odv);2;;;https://volontariatolazio.it/;;;;https://csvnet.it/templates/frontend/img/RGB_payoff_CSVnet.png;https://csvnet.it/images/testata-calendario-01.png;In presenza;11;;;Via Liberiana 17, Roma;41,8970784;12,4980209
;CSV - Umbria;I Centri di servizio per il volontariato nascono per essere al servizio delle organizzazioni di volontariato (Odv);2;;;https://www.cesvolumbria.org/;;;;https://csvnet.it/templates/frontend/img/RGB_payoff_CSVnet.png;https://csvnet.it/images/testata-calendario-01.png;In presenza;11;;;Via Campo di Marte 9, Perugia;43,0995154;12,381934
;CSV - Marche;I Centri di servizio per il volontariato nascono per essere al servizio delle organizzazioni di volontariato (Odv);2;;;http://www.csvmarche.it/;;;;https://csvnet.it/templates/frontend/img/RGB_payoff_CSVnet.png;https://csvnet.it/images/testata-calendario-01.png;In presenza;11;;;Via della Montagnola 69/A, Ancona;43,5970751;13,5122153
;CSV - Abruzzo;I Centri di servizio per il volontariato nascono per essere al servizio delle organizzazioni di volontariato (Odv);2;;;https://www.csvabruzzo.it/;;;;https://csvnet.it/templates/frontend/img/RGB_payoff_CSVnet.png;https://csvnet.it/images/testata-calendario-01.png;In presenza;11;;;Via Saragat 10, L'Aquila;42,3480526;13,3521601
;CSV - Molise;I Centri di servizio per il volontariato nascono per essere al servizio delle organizzazioni di volontariato (Odv);2;;;http://www.csvmolise.it/;;;;https://csvnet.it/templates/frontend/img/RGB_payoff_CSVnet.png;https://csvnet.it/images/testata-calendario-01.png;In presenza;11;;;Contrada Colle delle api snc, Campobasso;41,5790651;14,6697092
;CSV - Caserta;I Centri di servizio per il volontariato nascono per essere al servizio delle organizzazioni di volontariato (Odv);2;;;http://www.csvassovoce.it/;;;;https://csvnet.it/templates/frontend/img/RGB_payoff_CSVnet.png;https://csvnet.it/images/testata-calendario-01.png;In presenza;11;;;Via Galileo Galilei 2/A, Caserta;41,0718676;14,3388299
;CSV - Napoli;I Centri di servizio per il volontariato nascono per essere al servizio delle organizzazioni di volontariato (Odv);2;;;http://www.csvnapoli.it/;;;;https://csvnet.it/templates/frontend/img/RGB_payoff_CSVnet.png;https://csvnet.it/images/testata-calendario-01.png;In presenza;11;;;Centro Direzionale Isola E/1, Napoli;40,857615;14,2843781
;CSV - Salerno;I Centri di servizio per il volontariato nascono per essere al servizio delle organizzazioni di volontariato (Odv);2;;;http://www.csvsalerno.it/;;;;https://csvnet.it/templates/frontend/img/RGB_payoff_CSVnet.png;https://csvnet.it/images/testata-calendario-01.png;In presenza;11;;;Via Vittorio Emanuele 58, Salerno;40,6765623;14,7672252
;CSV - Avellino;I Centri di servizio per il volontariato nascono per essere al servizio delle organizzazioni di volontariato (Odv);2;;;http://www.cesvolab.it/;;;;https://csvnet.it/templates/frontend/img/RGB_payoff_CSVnet.png;https://csvnet.it/images/testata-calendario-01.png;In presenza;11;;;C.so Umberto 109, Avellino;40,9145672;14,7979731
;CSV - Bari;I Centri di servizio per il volontariato nascono per essere al servizio delle organizzazioni di volontariato (Odv);2;;;http://www.csvbari.com/;;;;https://csvnet.it/templates/frontend/img/RGB_payoff_CSVnet.png;https://csvnet.it/images/testata-calendario-01.png;In presenza;11;;;Via Vitantonio di Cagno 30, Bari;41,0971393;16,8651211
;CSV - Foggia;I Centri di servizio per il volontariato nascono per essere al servizio delle organizzazioni di volontariato (Odv);2;;;http://www.csvfoggia.it/;;;;https://csvnet.it/templates/frontend/img/RGB_payoff_CSVnet.png;https://csvnet.it/images/testata-calendario-01.png;In presenza;11;;;Via L. Rovelli 48, Foggia;41,4620312;15,5243118
;CSV - Taranto;I Centri di servizio per il volontariato nascono per essere al servizio delle organizzazioni di volontariato (Odv);2;;;http://www.csvtaranto.it/;;;;https://csvnet.it/templates/frontend/img/RGB_payoff_CSVnet.png;https://csvnet.it/images/testata-calendario-01.png;In presenza;11;;;Viale Magna Grecia 420/A, Taranto;40,4520297;17,2597858
;CSV - Brindisi - Lecce;I Centri di servizio per il volontariato nascono per essere al servizio delle organizzazioni di volontariato (Odv);2;;;https://www.csvbrindisilecce.it/;;;;https://csvnet.it/templates/frontend/img/RGB_payoff_CSVnet.png;https://csvnet.it/images/testata-calendario-01.png;In presenza;11;;;Via Merine 4, Lecce;40,3477845;18,1857231
;CSV - Basilicata;I Centri di servizio per il volontariato nascono per essere al servizio delle organizzazioni di volontariato (Odv);2;;;http://www.csvbasilicata.it/;;;;https://csvnet.it/templates/frontend/img/RGB_payoff_CSVnet.png;https://csvnet.it/images/testata-calendario-01.png;In presenza;11;;;Via Sicilia 23, Potenza;40,64545;15,80303
;CSV - Cosenza;I Centri di servizio per il volontariato nascono per essere al servizio delle organizzazioni di volontariato (Odv);2;;;http://www.csvcosenza.it/;;;;https://csvnet.it/templates/frontend/img/RGB_payoff_CSVnet.png;https://csvnet.it/images/testata-calendario-01.png;In presenza;11;;;Viale G. Mancini 77/F, Cosenza;39,3002609;16,2555424
;CSV - Reggio Calabria;I Centri di servizio per il volontariato nascono per essere al servizio delle organizzazioni di volontariato (Odv);2;;;http://www.csvrc.it/;;;;https://csvnet.it/templates/frontend/img/RGB_payoff_CSVnet.png;https://csvnet.it/images/testata-calendario-01.png;In presenza;11;;;Via A. Frangipane III 20, Reggio Calabria;38,0975216;15,6375333
;CSV - Catanzaro;I Centri di servizio per il volontariato nascono per essere al servizio delle organizzazioni di volontariato (Odv);2;;;http://www.csvcalabriacentro.it/;;;;https://csvnet.it/templates/frontend/img/RGB_payoff_CSVnet.png;https://csvnet.it/images/testata-calendario-01.png;In presenza;11;;;Via Fontana vecchia snc, Catanzaro;38,9115939;16,5859927
;CSV - Catania;I Centri di servizio per il volontariato nascono per essere al servizio delle organizzazioni di volontariato (Odv);2;;;http://www.csvetneo.org/;;;;https://csvnet.it/templates/frontend/img/RGB_payoff_CSVnet.png;https://csvnet.it/images/testata-calendario-01.png;In presenza;11;;;Via Aranci 16, Catania;37,5502703;15,0507289
;CSV - Messina;I Centri di servizio per il volontariato nascono per essere al servizio delle organizzazioni di volontariato (Odv);2;;;https://cesvmessina.org/;;;;https://csvnet.it/templates/frontend/img/RGB_payoff_CSVnet.png;https://csvnet.it/images/testata-calendario-01.png;In presenza;11;;;Via Salita Cappuccini 31, Messina;38,2053704;15,5525441
;CSV - Palermo;I Centri di servizio per il volontariato nascono per essere al servizio delle organizzazioni di volontariato (Odv);2;;;http://www.cesvop.org/;;;;https://csvnet.it/templates/frontend/img/RGB_payoff_CSVnet.png;https://csvnet.it/images/testata-calendario-01.png;In presenza;11;;;Largo Villaura 27, Palermo;38,1365908;13,3626542
;CSV - Sardegna;I Centri di servizio per il volontariato nascono per essere al servizio delle organizzazioni di volontariato (Odv);2;;;https://www.csvsardegna.org//;;;;https://csvnet.it/templates/frontend/img/RGB_payoff_CSVnet.png;https://csvnet.it/images/testata-calendario-01.png;In presenza;11;;;Via Via dei Muratori 5, Oristano;39,9142674;8,5881128
;CSV - Genova;I Centri di servizio per il volontariato nascono per essere al servizio delle organizzazioni di volontariato (Odv);2;;;http://www.celivo.it/;;;;https://csvnet.it/templates/frontend/img/RGB_payoff_CSVnet.png;https://csvnet.it/images/testata-calendario-01.png;In presenza;11;;;Via di Sottoripa 1a, Genova;44,4105693;8,929159
;CSV - La Spezia;I Centri di servizio per il volontariato nascono per essere al servizio delle organizzazioni di volontariato (Odv);2;;;http://www.vivereinsieme.sp.it/;;;;https://csvnet.it/templates/frontend/img/RGB_payoff_CSVnet.png;https://csvnet.it/images/testata-calendario-01.png;In presenza;11;;;Via Persio 49, La Spezia;44,1023436;9,8216733
;CSV - Savona - Imperia;I Centri di servizio per il volontariato nascono per essere al servizio delle organizzazioni di volontariato (Odv);2;;;https://www.csvpolis.it/;;;;https://csvnet.it/templates/frontend/img/RGB_payoff_CSVnet.png;https://csvnet.it/images/testata-calendario-01.png;In presenza;11;;;Via Nizza 10a, Savona;44,296917;8,4630545
;CSV - Valle D'Aosta;I Centri di servizio per il volontariato nascono per essere al servizio delle organizzazioni di volontariato (Odv);2;;;http://csv.vda.it/;;;;https://csvnet.it/templates/frontend/img/RGB_payoff_CSVnet.png;https://csvnet.it/images/testata-calendario-01.png;In presenza;11;;;Via Xavier de Maistre 19, Aosta;45,7349551;7,3130762
;Tricheco;Associazione, Media;2;;;https://www.instagram.com/progetto.tricheco/;;;;;;In presenza;11;;;Formigine (MO);44,57303906;10,84809028
;Venice Calls APS;"Venice Calls APS è una associazione di promozione sociale che lavora in rete unendo persone, organizzazioni ed istituzioni per creare e supportare progetti che siano in grado di generare un modello di città più sostenibile ed innovativa.

L’organizzazione nasce nel 2018 dalla volontà di un gruppo di giovani ragazzə intenzionatə a creare una piattaforma indipendente che permetta loro di unire le forze in favore della città che vedono sempre più in difficoltà nell’affrontare le sfide ambientali, sociali ed economiche che la colpiscono.

Venezia rappresenta ogni giorno di più il termometro del mondo:
Il destino della città è unito al destino del Pianeta Terra.";2;;;www.venicecalls.com/;;;;https://www.venicecalls.com/wp-content/uploads/2018/10/venicecalls.png;https://www.venicecalls.com/wp-content/uploads/2022/01/VCGS2.png;In presenza;11;;;Chiostro Santi Cosma e Damiano 623E/F Giudecca (30133) VE;45,4244638;12,3294986
;Autoctoni - Rimboschimento di comunità ;"🌲🌳🌱 Rimboschimento di comunità 🌱🌳🌲
🌲🌲🌲🌲🌲 Piantiamo alberi 🌲🌲🌲🌲🌲
APS - seminiamo semi e cultura ambientalista per un futuro possibile
#unsemeallavolta";2;;;https://linktr.ee/autoctoni.puglia?fbclid=PAAabKS-5eSY_0Nd3W4KTnEyagFkYnH9VeTChwYZMcr30Bbqx-5ZXiCKKjT7s;;;;https://d1fdloi71mui9q.cloudfront.net/0R7aeK6OQwuKcWa04f4J_PPM4gIeny9epZp41;;In presenza;11;;;Via E. Toti 82, Bari, 70125 (BA);41,1133827;16,8743911
;Dodici Nodi APS;Dodici Nodi è un'associazione di promozione sociale che ha come obiettivo la rigenerazione urbana e rurale di edifici e spazi abbandonati o sottoutilizzati attraverso la partecipazione dei cittadini per rifunzionalizzarli e restituirli alle comunità.;2;;;https://instagram.com/dodicinodi;;;;;;In presenza;11;;;Piazza del Duomo, 25, 26013 Crema CR;45,3633784;9,6866508
;Associazione Dimensione Volontario;L’Associazione Dimensione Volontario è nata nel 1996 per perseguire finalità di solidarietà sociale, ha come scopo lo svolgimento di attività di solidarietà, assistenza sanitaria, formazione, promozione della cultura e dell’arte, tutela dei diritti civili in favore delle persone diversamente abili.;2;;;https://www.dimensionevolontario.it/;;;;https://www.dimensionevolontario.it/wp-content/uploads/2022/02/adv_logo_blu-con-sfondo-trasparente.png;;In presenza;11;;;"Via Santa Caterina 2N
Roseto degli Abruzzi (TE)";42,6753134;13,9849652
;Retake Agrigento;Operiamo tramite un insieme di eventi di mobilitazione civica, progetti educativi e collaborazioni pubblico-privati, coinvolgendo nel rispetto e nella tutela delle città tutte le componenti del contesto sociale, nella cornice del principio di sussidiarietà orizzontale.;5;;;https://www.facebook.com/retakeagrigento;;;https://www.retake.org/wp-content/uploads/2021/11/Logo-Retake80.png;https://www.retake.org/wp-content/uploads/2022/09/palermo.jpeg;https://www.retake.org/wp-content/uploads/2021/11/Logo-Retake80.png;In presenza;14-15;;;Agrigento, Italia;37,31097326;13,58171179
;Retake Ardea;Operiamo tramite un insieme di eventi di mobilitazione civica, progetti educativi e collaborazioni pubblico-privati, coinvolgendo nel rispetto e nella tutela delle città tutte le componenti del contesto sociale, nella cornice del principio di sussidiarietà orizzontale.;5;;;https://www.facebook.com/groups/253693572997364;;;https://www.retake.org/wp-content/uploads/2021/11/Logo-Retake80.png;https://www.retake.org/wp-content/uploads/2022/09/palermo.jpeg;https://www.retake.org/wp-content/uploads/2021/11/Logo-Retake80.png;In presenza;14-15;;;Ardea, Roma;41,6079691;12,5432586
;Retake Arezzo;Operiamo tramite un insieme di eventi di mobilitazione civica, progetti educativi e collaborazioni pubblico-privati, coinvolgendo nel rispetto e nella tutela delle città tutte le componenti del contesto sociale, nella cornice del principio di sussidiarietà orizzontale.;5;;;https://www.facebook.com/RetakeArezzo/;;;https://www.retake.org/wp-content/uploads/2021/11/Logo-Retake80.png;https://www.retake.org/wp-content/uploads/2022/09/palermo.jpeg;https://www.retake.org/wp-content/uploads/2021/11/Logo-Retake80.png;In presenza;14-15;;;Via Montefalco 14 52100 Arezzo, Toscana;43,4667618;11,8712639
;Retake Ascoli Piceno;Operiamo tramite un insieme di eventi di mobilitazione civica, progetti educativi e collaborazioni pubblico-privati, coinvolgendo nel rispetto e nella tutela delle città tutte le componenti del contesto sociale, nella cornice del principio di sussidiarietà orizzontale.;5;;;https://www.facebook.com/groups/705133257340414;;;https://www.retake.org/wp-content/uploads/2021/11/Logo-Retake80.png;https://www.retake.org/wp-content/uploads/2022/09/palermo.jpeg;https://www.retake.org/wp-content/uploads/2021/11/Logo-Retake80.png;In presenza;14-15;;;Ascoli Piceno, Italia;42,8475303;13,5668302
;Retake Bari;Operiamo tramite un insieme di eventi di mobilitazione civica, progetti educativi e collaborazioni pubblico-privati, coinvolgendo nel rispetto e nella tutela delle città tutte le componenti del contesto sociale, nella cornice del principio di sussidiarietà orizzontale.;5;;;https://www.facebook.com/retakebari/;;;https://www.retake.org/wp-content/uploads/2021/11/Logo-Retake80.png;https://www.retake.org/wp-content/uploads/2022/09/palermo.jpeg;https://www.retake.org/wp-content/uploads/2021/11/Logo-Retake80.png;In presenza;14-15;;;Bari, Puglia;41,1171432;16,8718715
;Retake Barletta;Operiamo tramite un insieme di eventi di mobilitazione civica, progetti educativi e collaborazioni pubblico-privati, coinvolgendo nel rispetto e nella tutela delle città tutte le componenti del contesto sociale, nella cornice del principio di sussidiarietà orizzontale.;5;;;https://www.facebook.com/RetakeBarletta;;;https://www.retake.org/wp-content/uploads/2021/11/Logo-Retake80.png;https://www.retake.org/wp-content/uploads/2022/09/palermo.jpeg;https://www.retake.org/wp-content/uploads/2021/11/Logo-Retake80.png;In presenza;14-15;;;Barletta, Puglia;41,3196635;16,2838207
;Retake Bologna;Operiamo tramite un insieme di eventi di mobilitazione civica, progetti educativi e collaborazioni pubblico-privati, coinvolgendo nel rispetto e nella tutela delle città tutte le componenti del contesto sociale, nella cornice del principio di sussidiarietà orizzontale.;5;;;https://www.facebook.com/groups/1050369702321245/;;;https://www.retake.org/wp-content/uploads/2021/11/Logo-Retake80.png;https://www.retake.org/wp-content/uploads/2022/09/palermo.jpeg;https://www.retake.org/wp-content/uploads/2021/11/Logo-Retake80.png;In presenza;14-15;;;Bologna, Italia;44,494887;11,3426163
